Date,Amount
2008/02/11, -6.290000
2008/02/14, -11.790000
2008/02/15, -33.500000
2008/02/19, -791.270000
2008/02/20, -54.570000
2008/02/21, -34.550000
2008/02/22, -62.000000
2008/02/25, -438.770000
2008/02/26, -16.310000
2008/02/27, -21.740000
2008/02/28, -243.210000
2008/03/03, -227.090000
2008/03/04, -287.480000
2008/03/05, -1350.000000
2008/03/06, -11.620000
2008/03/07, -95.730000
2008/03/10, -81.900000
2008/03/11, -26.530000
2008/03/12, -45.180000
2008/03/13, -1.250000
2008/03/17, -1234.300000
2008/03/18, -30.960000
2008/03/19, -30.010000
2008/03/20, -52.590000
2008/03/21, -10.500000
2008/03/24, -232.580000
2008/03/26, -43.500000
2008/03/27, -422.030000
2008/03/28, -6.000000
2008/04/02, -20.290000
2008/04/03, -10.000000
2008/04/04, -82.210000
2008/04/07, -1472.020000
2008/04/08, -468.070000
2008/04/09, -55.000000
2008/04/10, -12.420000
2008/04/14, -99.230000
2008/04/15, -1154.740000
2008/04/16, -1785.590000
2008/04/17, -5.840000
2008/04/18, -32.930000
2008/04/21, -148.650000
2008/04/22, -59.550000
2008/04/24, -40.000000
2008/04/25, -40.900000
2008/04/28, -271.310000
2008/05/02, -61.060000
2008/05/05, -464.510000
2008/05/06, -216.340000
2008/05/07, -1363.600000
2008/05/08, -62.110000
2008/05/09, -8.630000
2008/05/12, -181.400000
2008/05/13, -110.120000
2008/05/14, -59.330000
2008/05/15, -920.300000
2008/05/16, -32.130000
2008/05/19, -153.220000
2008/05/20, -202.100000
2008/05/21, -8.250000
2008/05/22, -29.800000
2008/05/23, -213.740000
2008/05/27, -527.390000
2008/05/28, -375.840000
2008/05/29, -122.310000
2008/06/02, -157.360000
2008/06/03, -24.110000
2008/06/04, -170.540000
2008/06/05, -33.740000
2008/06/06, -36.850000
2008/06/09, -227.420000
2008/06/10, -80.850000
2008/06/11, -410.110000
2008/06/12, -5.650000
2008/06/16, -1515.800000
2008/06/17, -200.610000
2008/06/18, -39.730000
2008/06/19, -6.510000
2008/06/20, -45.920000
2008/06/23, -224.460000
2008/06/25, -137.130000
2008/06/26, -101.920000
2008/06/27, -505.370000
2008/07/01, -20.730000
2008/07/02, -114.010000
2008/07/03, -17.590000
2008/07/07, -2228.940000
2008/07/08, -1087.370000
2008/07/09, -73.410000
2008/07/11, -523.530000
2008/07/14, -247.010000
2008/07/16, -82.000000
2008/07/17, -26.640000
2008/07/18, -9.910000
2008/07/21, -146.020000
2008/07/22, -113.220000
2008/07/23, -45.210000
2008/07/24, -68.480000
2008/07/25, -114.710000
2008/07/28, -633.410000
2008/07/29, -54.560000
2008/08/01, -235.360000
2008/08/04, -684.810000
2008/08/05, -122.720000
2008/08/06, -34.490000
2008/08/07, -11.050000
2008/08/08, -36.220000
2008/08/11, -1604.400000
2008/08/12, -2053.760000
2008/08/13, -110.990000
2008/08/14, -9.830000
2008/08/18, -664.280000
2008/08/19, -8.560000
2008/08/21, -28.650000
2008/08/22, -43.000000
2008/08/25, -302.730000
2008/08/26, -385.760000
2008/08/27, -117.510000
2008/08/28, -32.010000
2008/09/02, -348.780000
2008/09/03, -161.750000
2008/09/04, -104.780000
2008/09/05, -34.440000
2008/09/08, -204.190000
2008/09/09, -2679.310000
2008/09/11, -59.240000
2008/09/12, -106.450000
2008/09/16, -8.500000
2008/09/17, -107.220000
2008/09/19, -119.310000
2008/09/22, -153.650000
2008/09/23, -1086.240000
2008/09/24, -79.420000
2008/09/25, -108.580000
2008/09/26, -265.430000
2008/09/29, 1253.830000
2008/09/30, 1719.380000
2008/10/01, -77.550000
2008/10/02, -82.730000
2008/10/03, -36.300000
2008/10/06, -216.650000
2008/10/07, -100.000000
2008/10/08, -1373.030000
2008/10/10, -23.300000
2008/10/14, -59.940000
2008/10/16, -163.020000
2008/10/17, -273.090000
2008/10/20, -381.610000
2008/10/21, -20.090000
2008/10/22, -19.660000
2008/10/23, -1540.050000
2008/10/24, 19.670000
2008/10/27, -1241.610000
2008/10/28, -30.760000
2008/10/29, -6.500000
2008/11/03, -108.930000
2008/11/04, -285.810000
2008/11/05, -3.250000
2008/11/06, -1384.680000
2008/11/07, -40.000000
2008/11/10, -323.810000
2008/11/12, -101.000000
2008/11/13, -61.540000
2008/11/17, -178.700000
2008/11/18, -9.350000
2008/11/19, -58.370000
2008/11/20, -156.530000
2008/11/25, -160.860000
2008/12/01, -174.240000
2008/12/02, -1503.440000
2008/12/03, -126.180000
2008/12/04, -142.440000
2008/12/05, -1299.030000
2008/12/08, -37.550000
2008/12/09, -120.930000
2008/12/10, -19.950000
2008/12/11, -8.280000
2008/12/16, -10.400000
2008/12/18, -43.700000
2008/12/19, -103.610000
2008/12/22, -82.770000
2008/12/23, -2041.920000
2008/12/24, -216.010000
2008/12/26, -93.700000
2008/12/29, -118.940000
2008/12/30, -58.640000
2009/01/02, -26.700000
2009/01/05, -194.330000
2009/01/07, -314.210000
2009/01/08, 865.530000
2009/01/09, -2345.790000
2009/01/12, -157.400000
2009/01/13, -112.910000
2009/01/14, -470.880000
2009/01/16, -12.500000
2009/01/20, -178.980000
2009/01/21, -137.940000
2009/01/22, -28.050000
2009/01/23, -192.880000
2009/01/26, -384.500000
2009/01/27, -76.330000
2009/01/28, -190.260000
2009/01/29, -121.710000
2009/02/02, -172.750000
2009/02/03, -85.430000
2009/02/04, -70.210000
2009/02/05, -44.890000
2009/02/06, -24.960000
2009/02/09, -433.560000
2009/02/10, -116.440000
2009/02/11, -36.750000
2009/02/12, -127.710000
2009/02/17, -467.240000
